,Domain.Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Production in tonnes,Flag,FlagD
564,QC,Crops,100,India,5419,Yield,406,Spices,2006,44344,Fc,Calculated data
565,QC,Crops,100,India,5419,Yield,406,Spices,2007,48763,Fc,Calculated data
566,QC,Crops,100,India,5419,Yield,406,Spices,2008,51839,Fc,Calculated data
567,QC,Crops,100,India,5419,Yield,406,Spices,2009,50003,Fc,Calculated data
568,QC,Crops,100,India,5419,Yield,406,Spices,2010,50587,Fc,Calculated data
569,QC,Crops,100,India,5419,Yield,406,Spices,2011,52732,Fc,Calculated data
570,QC,Crops,100,India,5419,Yield,406,Spices,2012,50744,Fc,Calculated data
477,QC,Crops,100,India,5419,Yield,289,Spices,2013,3419,Fc,Calculated data
572,QC,Crops,100,India,5419,Yield,414,Vegetables,1994,26759,Fc,Calculated data
573,QC,Crops,100,India,5419,Yield,414,Vegetables,1995,20403,Fc,Calculated data
574,QC,Crops,100,India,5419,Yield,414,Vegetables,1996,27027,Fc,Calculated data
575,QC,Crops,100,India,5419,Yield,414,Vegetables,1997,23168,Fc,Calculated data
576,QC,Crops,100,India,5419,Yield,414,Vegetables,1998,27333,Fc,Calculated data
577,QC,Crops,100,India,5419,Yield,414,Vegetables,1999,29311,Fc,Calculated data
578,QC,Crops,100,India,5419,Yield,414,Vegetables,2000,26827,Fc,Calculated data
579,QC,Crops,100,India,5419,Yield,414,Vegetables,2001,26627,Fc,Calculated data
580,QC,Crops,100,India,5419,Yield,414,Vegetables,2002,24376,Fc,Calculated data
581,QC,Crops,100,India,5419,Yield,414,Vegetables,2003,22303,Fc,Calculated data
582,QC,Crops,100,India,5419,Yield,414,Vegetables,2004,24571,Fc,Calculated data
583,QC,Crops,100,India,5419,Yield,414,Vegetables,2005,24766,Fc,Calculated data
584,QC,Crops,100,India,5419,Yield,414,Vegetables,2006,26175,Fc,Calculated data
585,QC,Crops,100,India,5419,Yield,414,Vegetables,2007,27161,Fc,Calculated data
586,QC,Crops,100,India,5419,Yield,414,Vegetables,2008,27317,Fc,Calculated data
587,QC,Crops,100,India,5419,Yield,414,Vegetables,2009,27184,Fc,Calculated data
588,QC,Crops,100,India,5419,Yield,414,Vegetables,2010,28019,Fc,Calculated data
589,QC,Crops,100,India,5419,Yield,414,Vegetables,2011,28297,Fc,Calculated data
590,QC,Crops,100,India,5419,Yield,414,Vegetables,2012,28182,Fc,Calculated data
591,QC,Crops,100,India,5419,Yield,414,Vegetables,2013,28182,Fc,Calculated data
592,QC,Crops,100,India,5419,Yield,515,Fruits,1996,55798,Fc,Calculated data
593,QC,Crops,100,India,5419,Yield,515,Fruits,2000,45652,Fc,Calculated data
594,QC,Crops,100,India,5419,Yield,515,Fruits,2001,51250,Fc,Calculated data
595,QC,Crops,100,India,5419,Yield,515,Fruits,2002,48333,Fc,Calculated data
596,QC,Crops,100,India,5419,Yield,526,Dry Fruits,1994,29167,Fc,Calculated data
597,QC,Crops,100,India,5419,Yield,526,Dry Fruits,1995,29627,Fc,Calculated data
598,QC,Crops,100,India,5419,Yield,526,Dry Fruits,1996,30896,Fc,Calculated data
599,QC,Crops,100,India,5419,Yield,526,Dry Fruits,1997,30224,Fc,Calculated data
600,QC,Crops,100,India,5419,Yield,526,Dry Fruits,1998,28523,Fc,Calculated data
601,QC,Crops,100,India,5419,Yield,526,Dry Fruits,1999,31757,Fc,Calculated data
602,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2000,32967,Fc,Calculated data
603,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2001,32499,Fc,Calculated data
604,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2002,31254,Fc,Calculated data
605,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2003,33561,Fc,Calculated data
606,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2004,29763,Fc,Calculated data
607,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2005,30476,Fc,Calculated data
608,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2006,30916,Fc,Calculated data
609,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2007,31970,Fc,Calculated data
610,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2008,33364,Fc,Calculated data
611,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2009,32135,Fc,Calculated data
612,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2010,33843,Fc,Calculated data
613,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2011,34259,Fc,Calculated data
614,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2012,34000,Fc,Calculated data
615,QC,Crops,100,India,5419,Yield,526,Dry Fruits,2013,34000,Fc,Calculated data
616,QC,Crops,100,India,5419,Yield,531,Dry Fruits,1994,26250,Fc,Calculated data
617,QC,Crops,100,India,5419,Yield,531,Dry Fruits,1995,26780,Fc,Calculated data
618,QC,Crops,100,India,5419,Yield,531,Dry Fruits,1996,28235,Fc,Calculated data
619,QC,Crops,100,India,5419,Yield,531,Dry Fruits,1997,27497,Fc,Calculated data
620,QC,Crops,100,India,5419,Yield,531,Dry Fruits,1998,26047,Fc,Calculated data
621,QC,Crops,100,India,5419,Yield,531,Dry Fruits,1999,37602,Fc,Calculated data
622,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2000,39059,Fc,Calculated data
623,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2001,39101,Fc,Calculated data
624,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2002,37607,Fc,Calculated data
625,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2003,40380,Fc,Calculated data
626,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2004,35816,Fc,Calculated data
627,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2005,36680,Fc,Calculated data
628,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2006,37214,Fc,Calculated data
629,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2007,38479,Fc,Calculated data
630,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2008,40154,Fc,Calculated data
631,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2009,38671,Fc,Calculated data
632,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2010,40724,Fc,Calculated data
633,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2011,41232,Fc,Calculated data
634,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2012,40909,Fc,Calculated data
635,QC,Crops,100,India,5419,Yield,531,Dry Fruits,2013,40909,Fc,Calculated data
636,QC,Crops,100,India,5419,Yield,534,Fruits,1994,47222,Fc,Calculated data
637,QC,Crops,100,India,5419,Yield,534,Fruits,1995,48634,Fc,Calculated data
638,QC,Crops,100,India,5419,Yield,534,Fruits,1996,51351,Fc,Calculated data
639,QC,Crops,100,India,5419,Yield,534,Fruits,1997,51573,Fc,Calculated data
640,QC,Crops,100,India,5419,Yield,534,Fruits,1998,47409,Fc,Calculated data
641,QC,Crops,100,India,5419,Yield,534,Fruits,1999,53234,Fc,Calculated data
642,QC,Crops,100,India,5419,Yield,534,Fruits,2000,55231,Fc,Calculated data
643,QC,Crops,100,India,5419,Yield,536,Fruits,1994,40000,Fc,Calculated data
644,QC,Crops,100,India,5419,Yield,536,Fruits,1995,40351,Fc,Calculated data
645,QC,Crops,100,India,5419,Yield,536,Fruits,1996,41561,Fc,Calculated data
646,QC,Crops,100,India,5419,Yield,536,Fruits,1997,41571,Fc,Calculated data
647,QC,Crops,100,India,5419,Yield,536,Fruits,1998,38419,Fc,Calculated data
648,QC,Crops,100,India,5419,Yield,536,Fruits,1999,42854,Fc,Calculated data
649,QC,Crops,100,India,5419,Yield,536,Fruits,2000,44523,Fc,Calculated data
650,QC,Crops,100,India,5419,Yield,536,Fruits,2001,44561,Fc,Calculated data
651,QC,Crops,100,India,5419,Yield,536,Fruits,2002,49475,Fc,Calculated data
652,QC,Crops,100,India,5419,Yield,541,Fruits,1994,56545,Fc,Calculated data
653,QC,Crops,100,India,5419,Yield,541,Fruits,1995,52092,Fc,Calculated data
654,QC,Crops,100,India,5419,Yield,541,Fruits,1996,37543,Fc,Calculated data
655,QC,Crops,100,India,5419,Yield,541,Fruits,1997,39088,Fc,Calculated data
656,QC,Crops,100,India,5419,Yield,541,Fruits,1998,35608,Fc,Calculated data
657,QC,Crops,100,India,5419,Yield,541,Fruits,1999,38348,Fc,Calculated data
658,QC,Crops,100,India,5419,Yield,541,Fruits,2000,39244,Fc,Calculated data
659,QC,Crops,100,India,5419,Yield,541,Fruits,2001,39660,Fc,Calculated data
660,QC,Crops,100,India,5419,Yield,541,Fruits,2002,38101,Fc,Calculated data
661,QC,Crops,100,India,5419,Yield,541,Fruits,2003,40873,Fc,Calculated data
662,QC,Crops,100,India,5419,Yield,541,Fruits,2004,36232,Fc,Calculated data
663,QC,Crops,100,India,5419,Yield,541,Fruits,2005,37078,Fc,Calculated data
664,QC,Crops,100,India,5419,Yield,541,Fruits,2006,37604,Fc,Calculated data
665,QC,Crops,100,India,5419,Yield,541,Fruits,2007,38878,Fc,Calculated data
666,QC,Crops,100,India,5419,Yield,541,Fruits,2008,40587,Fc,Calculated data
667,QC,Crops,100,India,5419,Yield,541,Fruits,2009,39060,Fc,Calculated data
668,QC,Crops,100,India,5419,Yield,541,Fruits,2010,41136,Fc,Calculated data
669,QC,Crops,100,India,5419,Yield,541,Fruits,2011,41634,Fc,Calculated data
670,QC,Crops,100,India,5419,Yield,541,Fruits,2012,41739,Fc,Calculated data
671,QC,Crops,100,India,5419,Yield,541,Fruits,2013,41739,Fc,Calculated data
672,QC,Crops,100,India,5419,Yield,558,Fruits,1994,41138,Fc,Calculated data
